customer_key,store_key,customer_cumulative_spent,customer_level,date_time
23,127,233.3,Gold,2018-01-01 00:06:09
16,168,133.0,Gold,2018-01-01 00:15:12
33,10,384.9,Platinum,2018-01-01 01:35:02
68,213,709.9,Diamond,2018-01-01 08:20:11
58,162,517.0,Diamond,2018-01-01 10:11:40
19,289,1110.8,VIP,2018-01-01 10:13:33
13,246,217.4,Gold,2018-01-01 10:55:25
4,173,1082.1,VIP,2018-01-01 11:46:12
50,140,433.3,Platinum,2018-01-01 12:09:23
32,272,434.5,Platinum,2018-01-01 12:14:31
39,12,180.1,Gold,2018-01-01 12:17:35
57,283,170.2,Gold,2018-01-01 12:55:14
26,245,54.2,Member,2018-01-01 13:05:13
49,4,190.2,Gold,2018-01-01 13:11:48
17,86,1780.9,VIP,2018-01-01 13:26:22
40,100,1000.6,VIP,2018-01-01 13:28:07
44,243,1683.1,VIP,2018-01-01 13:57:15
30,194,183.7,Gold,2018-01-01 14:10:56
11,207,136.4,Gold,2018-01-01 14:21:47
36,90,1007.5,VIP,2018-01-01 14:22:12
60,68,387.0,Platinum,2018-01-01 14:45:42
43,278,511.5,Diamond,2018-01-01 14:46:59
41,58,167.8,Gold,2018-01-01 16:12:05
37,222,1278.6,VIP,2018-01-01 16:26:43
1,277,134.4,Gold,2018-01-01 16:34:38
14,59,722.1,Diamond,2018-01-01 16:55:36
25,54,541.5,Diamond,2018-01-01 17:19:18
0,109,1044.6,VIP,2018-01-01 18:55:23
61,113,1517.8,VIP,2018-01-01 18:58:44
54,144,388.7,Platinum,2018-01-01 19:01:48
48,297,120.0,Gold,2018-01-01 19:09:29
46,20,336.6,Platinum,2018-01-01 19:35:20
27,280,301.4,Platinum,2018-01-01 19:35:27
24,164,387.9,Platinum,2018-01-01 19:37:59
29,2,51.2,Member,2018-01-01 20:04:21
35,73,256.5,Platinum,2018-01-01 20:26:30
18,78,482.3,Platinum,2018-01-01 20:40:19
42,201,253.8,Platinum,2018-01-01 21:06:02
3,250,1741.7,VIP,2018-01-01 21:06:02
6,47,892.4,Diamond,2018-01-01 21:52:36
8,198,392.5,Platinum,2018-01-01 22:22:13
56,204,1252.4,VIP,2018-01-01 22:30:44
62,162,1215.4,VIP,2018-01-01 22:48:24
47,248,725.5,Diamond,2018-01-01 22:49:41
15,28,95.3,Member,2018-01-01 23:11:18
34,5,126.3,Gold,2018-01-01 23:41:19
131,57,150.8,Gold,2018-01-02 00:47:57
91,37,288.5,Platinum,2018-01-02 08:14:29
102,226,579.6,Diamond,2018-01-02 08:24:12
137,247,376.1,Platinum,2018-01-02 09:26:26
98,171,2647.0,VIP,2018-01-02 09:44:31
109,162,365.7,Platinum,2018-01-02 10:17:14
130,30,301.1,Platinum,2018-01-02 10:25:22
121,284,236.0,Gold,2018-01-02 10:49:05
108,216,289.1,Platinum,2018-01-02 10:56:33
84,135,1195.6,VIP,2018-01-02 11:17:07
81,157,171.3,Gold,2018-01-02 12:22:51
118,67,339.7,Platinum,2018-01-02 13:21:22
117,212,773.6,Diamond,2018-01-02 13:45:21
103,216,1493.1,VIP,2018-01-02 13:56:53
80,61,188.6,Gold,2018-01-02 14:18:49
112,123,680.2,Diamond,2018-01-02 14:28:59
82,233,2178.0,VIP,2018-01-02 14:40:53
73,227,157.9,Gold,2018-01-02 15:20:44
115,195,389.4,Platinum,2018-01-02 15:27:18
99,214,204.0,Gold,2018-01-02 16:40:50
105,53,136.0,Gold,2018-01-02 16:55:39
107,244,963.4,Diamond,2018-01-02 17:03:02
85,230,415.5,Platinum,2018-01-02 17:20:49
104,236,117.2,Gold,2018-01-02 18:02:21
93,127,411.9,Platinum,2018-01-02 18:11:31
95,160,753.3,Diamond,2018-01-02 20:19:39
87,152,214.7,Gold,2018-01-02 20:56:12
119,82,409.9,Platinum,2018-01-02 21:10:39
136,265,146.3,Gold,2018-01-02 21:11:56
122,22,1146.5,VIP,2018-01-02 21:12:48
125,53,204.4,Gold,2018-01-02 21:40:05
135,137,118.6,Gold,2018-01-02 22:11:10
110,265,1753.9,VIP,2018-01-02 22:44:03
76,255,1268.2,VIP,2018-01-02 22:51:20
111,110,733.8,Diamond,2018-01-02 23:11:37
74,135,1161.9,VIP,2018-01-02 23:21:12
