product_key,staff_key,customer_key,order_quantity,order_total_money,order_discount,order_shipping_cost,order_profit,order_payment_method,order_date_time
0,83,108,1.0,102.6,0.3,4.6,46.0,credit_card,2018-01-02 10:56:33
1,8265,21853,1.0,158.89999999999998,0.3,11.2,112.0,credit_card,2018-07-24 20:41:37
2,1120,33714,5.0,529.6,0.1,3.1,31.2,credit_card,2018-11-08 08:38:49
3,8358,8606,1.0,85.19999999999999,0.3,2.6,26.2,credit_card,2018-04-18 19:28:06
4,6128,24314,1.0,191.0,0.3,16.0,160.0,credit_card,2018-08-13 21:18:39
5,1527,19763,1.0,52.8,0.3,2.4,24.0,credit_card,2018-07-09 21:57:05
6,1961,13531,1.0,43.199999999999996,0.3,5.4,54.0,credit_card,2018-05-16 13:10:30
7,8520,17763,5.0,458.3,0.2,2.3,22.6,credit_card,2018-06-23 18:29:09
8,2230,22432,5.0,820.1,0.3,11.6,116.4,credit_card,2018-07-29 11:55:02
0,5162,13535,1.0,117.4,0.2,5.4,54.4,money_order,2018-05-16 19:41:10
1,2306,20155,4.0,771.9,0.1,12.3,122.6,credit_card,2018-07-13 19:58:11
2,787,30159,4.0,329.4,0.3,1.8,18.3,credit_card,2018-10-07 10:06:19
3,4822,21989,1.0,98.0,0.2,3.6,35.6,credit_card,2018-07-25 17:44:10
4,5199,36170,1.0,189.0,0.3,14.0,140.0,credit_card,2018-12-01 14:14:28
5,7416,30171,4.0,261.0,0.1,1.8,18.0,credit_card,2018-10-07 19:03:12
6,7102,15510,1.0,51.300000000000004,0.1,2.7,27.0,credit_card,2018-06-02 19:00:43
7,1257,6926,1.0,82.1,0.3,2.3,22.6,credit_card,2018-03-26 23:41:31
8,2282,8884,5.0,817.8,0.3,9.3,93.3,credit_card,2018-04-21 00:03:41
0,1552,2120,1.0,102.6,0.3,4.6,46.0,credit_card,2018-01-26 15:54:26
1,1316,3750,1.0,181.10000000000002,0.2,12.3,122.6,credit_card,2018-02-18 14:31:30
2,6061,37402,5.0,529.6,0.1,3.1,31.2,credit_card,2018-12-15 08:52:40
3,7319,23149,1.0,85.69999999999999,0.3,3.1,30.9,credit_card,2018-08-03 20:37:35
4,6874,16006,4.0,815.0,0.2,15.0,150.0,credit_card,2018-06-08 07:55:29
5,611,10014,4.0,232.20000000000002,0.2,1.8,18.0,credit_card,2018-11-09 11:44:40
6,7939,25133,1.0,43.199999999999996,0.3,5.4,54.0,money_order,2018-08-20 23:46:53
