store_key,staff_key,store_inventory_quantity,date_time
292,2498,1200,2014-02-01
42,5086,600,2014-02-01
28,863,1200,2014-02-01
164,5239,900,2014-02-01
59,3331,1400,2014-02-01
233,5785,1900,2014-02-01
79,8357,600,2014-02-01
164,5239,1700,2014-03-01
204,6291,1300,2014-03-01
280,3356,1300,2014-03-01
42,8553,1700,2014-03-01
86,8173,1500,2014-03-01
79,8357,1100,2014-03-01
292,4122,1400,2014-03-01
12,2405,500,2014-03-01
120,6939,900,2014-03-01
270,8578,1200,2014-03-01
233,5785,1600,2014-03-01
28,5434,1500,2014-03-01
59,4693,1100,2014-03-01
142,5682,600,2014-04-01
28,5434,2000,2014-04-01
292,8534,1400,2014-04-01
7,743,1300,2014-04-01
120,1019,1000,2014-04-01
31,8227,1600,2014-04-01
86,8173,600,2014-04-01
260,3322,900,2014-04-01
187,6594,700,2014-04-01
164,2346,1600,2014-04-01
12,2405,1000,2014-04-01
280,7141,900,2014-04-01
79,8357,1400,2014-04-01
103,4213,2000,2014-04-01
61,7481,500,2014-04-01
42,8553,1900,2014-04-01
93,2936,1100,2014-04-01
270,8578,1400,2014-04-01
233,2840,800,2014-04-01
59,1811,1300,2014-04-01
110,7218,1500,2014-04-01
204,2614,600,2014-04-01
231,1938,1200,2014-05-01
233,2840,2000,2014-05-01
12,5779,1400,2014-05-01
109,1094,1000,2014-05-01
31,8227,1100,2014-05-01
120,6711,1400,2014-05-01
187,3189,1700,2014-05-01
142,1562,1700,2014-05-01
116,7001,1700,2014-05-01
253,6438,900,2014-05-01
110,3521,1900,2014-05-01
280,7141,1000,2014-05-01
61,4960,1600,2014-05-01
93,2936,1700,2014-05-01
59,3331,600,2014-05-01
204,2614,1500,2014-05-01
260,1590,900,2014-05-01
111,5494,1200,2014-05-01
169,5927,500,2014-05-01
103,375,1800,2014-05-01
7,7104,1000,2014-05-01
42,8553,1700,2014-05-01
164,5239,1700,2014-05-01
270,3497,1000,2014-05-01
79,4705,1300,2014-05-01
28,863,1100,2014-05-01
292,2498,1700,2014-05-01
86,8173,800,2014-05-01
80,616,1800,2014-05-01
31,4414,1100,2014-06-01
169,3074,1300,2014-06-01
7,743,900,2014-06-01
61,4960,800,2014-06-01
280,7141,1200,2014-06-01
60,8615,2000,2014-06-01
109,1094,2000,2014-06-01
120,6711,1900,2014-06-01
187,6594,1400,2014-06-01
206,1364,2000,2014-06-01
116,2070,1800,2014-06-01
80,616,1800,2014-06-01
142,1562,1700,2014-06-01
110,4793,900,2014-06-01
86,8173,1900,2014-06-01
103,375,1500,2014-06-01
253,6438,900,2014-06-01
241,6788,1800,2014-06-01
204,4532,1800,2014-06-01
63,5057,1800,2014-06-01
111,5494,1300,2014-06-01
260,1590,900,2014-06-01
292,4122,1500,2014-06-01
28,8069,1600,2014-06-01
59,1811,1300,2014-06-01
12,5779,1000,2014-06-01
270,4269,600,2014-06-01
42,8553,1700,2014-06-01
93,2936,900,2014-06-01
79,8198,1100,2014-06-01
231,1938,1600,2014-06-01
153,6584,1600,2014-06-01
164,5344,1700,2014-06-01
233,2840,1600,2014-06-01
153,1826,1900,2014-07-01
110,7218,1000,2014-07-01
86,8173,900,2014-07-01
80,3343,1400,2014-07-01
103,7569,800,2014-07-01
134,6763,2000,2014-07-01
59,4693,1900,2014-07-01
93,6698,1800,2014-07-01
280,3356,800,2014-07-01
61,1125,1300,2014-07-01
164,5344,900,2014-07-01
270,8578,800,2014-07-01
28,5434,2000,2014-07-01
89,4090,500,2014-07-01
253,6438,1500,2014-07-01
233,2840,1400,2014-07-01
111,7715,600,2014-07-01
292,4122,1300,2014-07-01
63,7624,500,2014-07-01
260,3322,1500,2014-07-01
12,2753,1000,2014-07-01
48,5593,1700,2014-07-01
204,4532,1500,2014-07-01
231,5219,1100,2014-07-01
79,8198,1800,2014-07-01
241,2736,1900,2014-07-01
42,2994,1000,2014-07-01
7,743,1500,2014-07-01
169,5927,1100,2014-07-01
31,4405,1100,2014-07-01
60,1497,900,2014-07-01
120,6939,1000,2014-07-01
13,5990,700,2014-07-01
187,6594,1900,2014-07-01
206,1364,1400,2014-07-01
212,659,1300,2014-07-01
142,1562,900,2014-07-01
109,3660,2000,2014-07-01
116,7001,500,2014-07-01
7,743,600,2014-08-01
60,8615,1900,2014-08-01
233,5350,1500,2014-08-01
212,6552,600,2014-08-01
83,2955,500,2014-08-01
270,4269,1400,2014-08-01
164,5344,2000,2014-08-01
134,520,1100,2014-08-01
223,1549,900,2014-08-01
86,708,1900,2014-08-01
267,6158,1800,2014-08-01
206,2864,900,2014-08-01
89,4786,700,2014-08-01
169,3074,2000,2014-08-01
90,7192,1000,2014-08-01
13,5990,500,2014-08-01
116,2070,900,2014-08-01
28,863,1600,2014-08-01
63,7624,1000,2014-08-01
260,3322,2000,2014-08-01
12,5779,1600,2014-08-01
204,4532,1600,2014-08-01
231,1938,500,2014-08-01
31,8227,500,2014-08-01
120,6939,1000,2014-08-01
142,5682,500,2014-08-01
253,6438,600,2014-08-01
61,7481,1700,2014-08-01
93,6698,1600,2014-08-01
162,3210,1400,2014-08-01
42,8553,1300,2014-08-01
280,5358,1000,2014-08-01
59,4693,500,2014-08-01
241,6788,1600,2014-08-01
48,5593,2000,2014-08-01
80,3343,1600,2014-08-01
155,5502,900,2014-08-01
153,3145,500,2014-08-01
111,5494,1400,2014-08-01
109,3660,600,2014-08-01
79,8357,1900,2014-08-01
292,2498,1500,2014-08-01
187,3189,1900,2014-08-01
103,7569,1000,2014-08-01
110,7218,700,2014-08-01
61,4960,1900,2014-09-01
80,7335,1200,2014-09-01
110,4793,1100,2014-09-01
206,1609,1400,2014-09-01
280,3356,500,2014-09-01
292,8534,1100,2014-09-01
156,8347,1700,2014-09-01
93,1799,1800,2014-09-01
267,832,1400,2014-09-01
83,2955,1900,2014-09-01
210,2551,700,2014-09-01
241,2736,1800,2014-09-01
116,2070,1400,2014-09-01
89,4786,1400,2014-09-01
253,8035,500,2014-09-01
42,2994,1600,2014-09-01
169,5927,1700,2014-09-01
12,5779,1500,2014-09-01
48,7846,1600,2014-09-01
212,6552,1400,2014-09-01
204,4532,600,2014-09-01
260,3817,1000,2014-09-01
231,1938,800,2014-09-01
109,1094,1800,2014-09-01
63,3557,2000,2014-09-01
142,5682,800,2014-09-01
162,5473,1700,2014-09-01
28,5434,1400,2014-09-01
13,5022,1600,2014-09-01
120,6939,1800,2014-09-01
187,3189,700,2014-09-01
79,8198,1100,2014-09-01
176,4611,1300,2014-09-01
86,3545,1100,2014-09-01
90,5836,1800,2014-09-01
31,8227,1900,2014-09-01
155,5098,1100,2014-09-01
122,7635,2000,2014-09-01
270,3497,1400,2014-09-01
134,8438,900,2014-09-01
103,4213,900,2014-09-01
233,2840,1500,2014-09-01
7,743,1900,2014-09-01
153,1826,1300,2014-09-01
164,5239,1200,2014-09-01
223,6429,1200,2014-09-01
60,5399,1400,2014-09-01
111,5494,1700,2014-09-01
59,3331,1600,2014-09-01
223,6429,1900,2014-10-01
110,3521,600,2014-10-01
122,7635,1200,2014-10-01
194,8085,600,2014-10-01
165,2444,500,2014-10-01
176,8433,800,2014-10-01
61,4960,1700,2014-10-01
292,2498,1100,2014-10-01
